name,slug,brand_slug,category_slug,product_code,price,discount_price,currency,stock_status,short_description,description,is_featured,is_active,model-yili,renk,mensei-ulke,uretici,oem-kodu,mpn,ean,upc,motor-hacmi,silindir-sayisi,motor-tipi,sogutma-sistemi,supap-sayisi,sikistirma-orani,maksimum-guc,maksimum-guc-devri,maksimum-tork,maksimum-tork-devri,maksimum-hiz-min,Maksimum-hiz-max,sanziman-tipi,vites-sayisi,debriyaj-tipi,son-aktarma-tipi,yakit-turu,yakit-sistemi,yakit-deposu,yakit-tuketimi-min,yakit-tuketimi-max,yakit-deposu-konumu,uzunluk,genislik,yukseklik,dingil-mesafesi,sele-yuksekligi,yerden-yukseklik,bos-agirlik,tasima-kapasitesi,sele-alti-bagaj-hacmi,on-fren,arka-fren,el-freni,on-suspansiyon,arka-suspansiyon,on-lastik,arka-lastik,on-jant,arka-jant,aku,far-tipi,gosterge-paneli,telefon-baglantisi,navigasyon-destegi,usb-sarj-girisi,anahtarsiz-calistirma,duz-taban,on-cam,start-stop-sistemi,idling-stop,akilli-anahtar,arka-portbagaj,ayak-marsi,on-saklama-gozu,abs,cbs,cekis-kontrolu,immobilizer,garanti-suresi,sertifikalar,bakim-talimati,kullanim-talimati,paket-icerigi
RKS LTM125,rks-ltm125,rks,125cc-scooter,,,,TRY,,"Şehir içi ulaşım için pratik, hava soğutmalı 125cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,124,1,Tek Silindir,Hava Soğutmalı,,,8.71,,9.5,,,,CVT (Sürekli Değişken),,,,Benzin,,6,,,,1900,710,1100,1300,750,125,113,,,Disk,Disk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
RKS Spontini 110,rks-spontini-110,rks,50cc-scooter,,88068,78720,TRY,,"Şehir içi ulaşım ve kurye kullanımı için ekonomik, hafif 110cc scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,109,1,Tek Silindir,Hava Soğutmalı,,,8.04,7500,8.5,6000,,,CVT (Sürekli Değişken),,,,Benzin,Enjeksiyon,6.75,2.1,2.4,,1840,650,1120,1280,,,100,,,Disk,Kampana,,,,90/90-12,3.50-10,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
RKS SRK125R,rks-srk125r,rks,motosiklet,,163590,143910,TRY,,Sportif sürüş için 125cc racing/naked motosiklet modeli.,,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.75,9500,12.1,7000,,,Manuel,6,,,Benzin,,12.5,,,,2010,770,1125,1380,780,140,152,,,Disk,Disk,,,,110/80-17,130/70-17,,,,,,,,,,,,,,,,,,,,,,,,,,
RKS Rodos,rks-rodos,rks,motosiklet,,69864,52800,TRY,,"Şehir içi kullanım için hafif, agresif tasarımlı 50cc cub modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,6.7,7500,7.6,4500,,,Manuel,4,,,Benzin,,4,,,,1995,740,1130,1270,768,150,104,,,Disk,Kampana,,,,70/90-17,80/90-17,,,,,Dijital,,,,,,,,,,,,,,,,,,,,,
RKS GTR50,rks-gtr50,rks,touring,,83640,69815,TRY,,Şehir içi ve şehir dışı kullanım için 50cc touring modeli.,,,TRUE,2026,,Çin,RKS Motor,,,,,50,1,Tek Silindir,Hava Soğutmalı,,,2.69,5300,3.8,4800,,,Manuel,5,,,Benzin,,16,,,,2503,730,1110,1330,,,110,260,,Disk,Kampana,,,,2.75-18,90/90-18,,,,,Dijital,,,,,,,,,,,,,,,,,,,,,
RKS Reale125,rks-reale125,rks,150-250cc-arasi-scooter,,151260,135054,TRY,,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 125cc maxi scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.5,8750,12,8250,105,115,CVT (Sürekli Değişken),,,,Benzin,,8,2.1,2.8,,1990,755,1210,1325,770,165,132,,,Disk,Disk,,,,,,,,,,Dijital,,,,,,,,,,,,,TRUE,,TRUE,,,,,,
RKS Reale125X,rks-reale125x,rks,150-250cc-arasi-scooter,,151260,135054,TRY,,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 125cc maxi scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Sıvı Soğutmalı,,,14.5,8750,12,8250,105,115,CVT (Sürekli Değişken),,,,Benzin,,8,2.1,2.8,,1990,755,1210,1325,770,165,132,,,Disk,Disk,,,,,,,,,,Dijital,,,,,,,,,,,,,TRUE,,TRUE,,,,,,
RKS Lince125,rks-lince125,rks,150-250cc-arasi-scooter,,122483,109470,TRY,,Şehir içi ve şehir dışı kullanım için 125cc maxi scooter modeli.,,,TRUE,2026,,Çin,RKS Motor,,,,,125,1,Tek Silindir,Hava Soğutmalı,,,10.5,,10,,,,CVT (Sürekli Değişken),,,,Benzin,,8,,,,1950,770,1220,1385,770,115,134,,,Disk,Disk,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
RKS SC150RE,rks-sc150re,rks,150-250cc-arasi-scooter,,162360,142877,TRY,,"Şehir içi ve şehir dışı kullanım için güçlü, sıvı soğutmalı 150cc maxi scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,150,1,Tek Silindir,Sıvı Soğutmalı,,,13,,13.7,,,,CVT (Sürekli Değişken),,,,Benzin,,7,,,,1945,700,1155,1360,785,120,139,,,Disk,Disk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
RKS RZ150,rks-rz150,rks,motosiklet,,,,TRY,,"Sportif, agresif tasarımlı 150cc naked motosiklet modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,150,1,Tek Silindir,Sıvı Soğutmalı,,,18.77,,16,,,,,,,,Benzin,,12.5,,,,1990,845,1105,1360,745,185,143,,,Disk,Disk,,,,,,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,,,,,
RKS 125R,rks-125r,rks,motosiklet,,,,TRY,,Touring segmentinde 125cc motosiklet modeli.,,,TRUE,2026,,Çin,RKS Motor,,,,,125,,,,,,,,,,,,,,,,Benzin,,16,,,,2040,730,1330,1330,,,128,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKS RZ250S,rks-rz250s,rks,maxi-scooter-250cc,,289050,254364,TRY,,"Sportif tasarımlı, güçlü sıvı soğutmalı 250cc maxi scooter modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,250,1,Tek Silindir,Sıvı Soğutmalı,,,27.5,8000,25.8,6500,150,160,CVT (Sürekli Değişken),,,,Benzin,,12,3,3.5,,2025,780,1440,1405,760,150,147,,,Disk,Disk,,,,120/70-15,140/70-14,,,,,Dijital,,,,,,,,,,,,,TRUE,,,,,,,,
RKS Precio 250 Max,rks-precio-250-max,rks,maxi-scooter-250cc-uzeri,,202950,182040,TRY,,Şehir içi ve şehir dışı kullanım için güçlü 250cc maxi scooter modeli.,,,TRUE,2026,,Çin,RKS Motor,,,,,250,1,Tek Silindir,Sıvı Soğutmalı,,,24.8,8000,24,6500,120,120,CVT (Sürekli Değişken),,,,Benzin,,12,3,3.6,,,,,,,,,,,Disk,,,,,110/80-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKS RK250S,rks-rk250s,rks,motosiklet,,186960,159900,TRY,,"Touring segmentinde güçlü, sıvı soğutmalı 250cc motosiklet modeli.",,,TRUE,2026,,Çin,RKS Motor,,,,,249,1,Tek Silindir,Sıvı Soğutmalı,,,28.16,,22,,,,,,,,Benzin,,18,,,,2060,750,1100,1370,805,200,150,,,Disk,Disk,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
RKS RK250X,rks-rk250x,rks,motosiklet,,179088,159900,TRY,,Cross/off-road kullanım için 250cc motosiklet modeli.,,,TRUE,2026,,Çin,RKS Motor,,,,,250,1,Tek Silindir,Hava Soğutmalı,,,16.49,,18.2,,,,,,,,Benzin,,,,,,,,,,,,,,,Disk,Disk,,,,,,,,,,Dijital,,,,,,,,,,,,,,,,,,,,,
